TRANS VAT DESC,ORIGINAL GROSS AMT,MERCHANT NAME,CARD NUMBER,TRANS CAC CODE 1,TRANS CAC DESC 1,TRANS CAC CODE 2,TRANS CAC DESC 2,TRANS CAC CODE 3,Directorate
2,52.84,833,392,22,65,412,11,0,0
2,10.0,833,392,22,65,412,11,0,0
2,20.01,901,392,22,65,412,11,0,0
2,57.96,833,392,22,65,412,11,0,0
2,60.5,828,579,22,65,415,266,0,0
5,6.99,1044,520,1,51,448,10,0,0
2,407.52,1115,520,42,17,448,10,0,0
0,114.24,1152,520,66,56,448,10,0,0
5,175.0,289,520,42,17,448,10,0,0
2,86.07,312,183,22,65,424,150,0,0
2,48.05,171,183,22,65,424,150,0,0
2,55.24,171,183,22,65,424,150,0,0
2,65.0,487,395,22,65,450,158,0,0
2,56.0,514,395,22,65,450,158,0,0
2,53.9,828,187,22,65,415,266,0,0
2,55.57,904,378,22,65,409,261,0,0
2,56.07,904,378,22,65,409,261,0,0
2,81.65,833,171,22,65,422,270,0,0
2,31.0,144,171,22,65,422,270,0,0
2,58.17,833,171,22,65,422,270,0,0
2,68.52,221,171,22,65,422,270,0,0
2,46.43,221,171,22,65,422,270,0,0
2,60.15,833,171,22,65,422,270,0,0
2,85.16,831,433,22,65,412,11,0,0
2,55.82,952,497,22,65,414,351,0,0
2,50.57,952,497,22,65,414,351,0,0
2,53.09,952,497,22,65,414,351,0,0
2,55.51,952,497,22,65,414,351,0,0
2,57.63,486,374,22,65,419,209,0,0
2,73.34,909,374,22,65,419,209,0,0
2,79.28,171,652,22,65,424,150,0,0
2,84.29,171,652,22,65,424,150,0,0
2,65.14,831,593,22,65,426,151,0,0
2,64.0,831,593,22,65,426,151,0,0
2,30.02,487,567,22,65,450,158,0,0
2,74.18,487,567,22,65,450,158,0,0
2,30.0,953,567,22,65,450,158,0,0
2,64.47,312,567,22,65,450,158,0,0
2,30.01,487,567,22,65,450,158,0,0
2,50.01,487,567,22,65,450,158,0,0
2,56.28,312,567,22,65,450,158,0,0
2,30.0,312,567,22,65,450,158,0,0
2,20.03,826,567,22,65,450,158,0,0
2,45.67,145,85,22,65,418,147,0,0
2,28.63,145,85,22,65,418,147,0,0
2,43.94,904,85,22,65,418,147,0,0
2,44.58,145,334,22,65,418,147,0,0
2,49.71,911,334,22,65,418,147,0,0
2,46.62,955,373,22,65,414,351,0,0
2,53.59,153,532,22,65,421,194,0,0
2,67.5,153,532,22,65,421,194,0,0
2,62.38,145,110,22,65,418,147,0,0
2,50.82,72,110,22,65,418,147,0,0
2,32.81,145,110,22,65,418,147,0,0
2,38.39,145,110,22,65,418,147,0,0
2,54.95,72,110,22,65,418,147,0,0
2,27.72,909,375,22,65,410,383,0,0
2,56.0,826,375,22,65,410,383,0,0
2,81.01,514,375,22,65,410,383,0,0
2,47.02,909,375,22,65,410,383,0,0
2,48.01,909,375,22,65,410,383,0,0
2,59.01,909,375,22,65,410,383,0,0
2,40.0,914,251,22,65,415,266,0,0
2,56.41,952,667,22,65,413,253,0,0
2,53.61,308,667,22,65,413,253,0,0
2,52.58,952,667,22,65,413,253,0,0
2,37.77,952,667,22,65,413,253,0,0
2,57.16,952,667,22,65,413,253,0,0
2,6.72,329,258,44,18,434,210,0,0
5,8.98,40,258,44,18,453,292,0,0
2,34.99,54,258,37,31,452,252,0,0
2,53.71,465,565,22,65,427,153,0,0
2,59.0,465,565,22,65,427,153,0,0
2,32.53,465,565,22,65,427,153,0,0
2,68.11,153,620,22,65,421,194,0,0
2,50.49,153,620,22,65,421,194,0,0
2,69.17,153,620,22,65,421,194,0,0
2,64.82,153,620,22,65,421,194,0,0
2,42.1,485,62,22,65,422,270,0,0
2,69.88,221,62,22,65,422,270,0,0
2,53.01,485,62,22,65,422,270,0,0
2,37.51,485,62,22,65,422,270,0,0
5,55.01,485,62,22,65,422,270,0,0
2,45.84,828,539,22,65,420,12,0,0
2,63.29,828,539,22,65,420,12,0,0
2,62.3,828,539,22,65,420,12,0,0
2,56.82,828,539,22,65,420,12,0,0
2,40.09,828,539,22,65,420,12,0,0
2,48.8,151,246,22,65,416,156,0,0
2,66.96,145,246,22,65,416,156,0,0
2,42.4,145,246,22,65,416,156,0,0
2,59.34,151,246,22,65,416,156,0,0
2,73.06,145,246,22,65,416,156,0,0
2,56.13,904,246,22,65,416,156,0,0
2,53.4,312,436,22,65,415,266,0,0
2,33.93,145,434,22,65,418,147,0,0
2,55.91,904,434,22,65,418,147,0,0
2,44.13,952,390,22,65,414,351,0,0
2,48.35,952,390,22,65,414,351,0,0
2,47.8,952,390,22,65,414,351,0,0
2,48.48,1056,241,22,65,423,360,0,0
2,57.04,956,241,22,65,423,360,0,0
2,70.24,1056,241,22,65,423,360,0,0
2,61.31,1056,241,22,65,423,360,0,0
2,73.55,1056,241,22,65,423,360,0,0
2,62.06,1056,241,22,65,423,360,0,0
2,31.0,1056,241,22,65,423,360,0,0
2,46.55,152,550,22,65,417,411,0,0
2,80.0,485,550,22,65,417,411,0,0
2,18.68,1056,576,22,65,423,360,0,0
2,25.52,956,576,22,65,423,360,0,0
2,56.32,956,576,22,65,423,360,0,0
2,74.02,1056,576,22,65,423,360,0,0
2,50.46,1056,576,22,65,423,360,0,0
2,70.72,1056,576,22,65,423,360,0,0
2,69.4,1056,576,22,65,423,360,0,0
2,84.9,17,440,22,65,422,270,0,0
2,78.36,17,440,22,65,422,270,0,0
2,77.68,17,440,22,65,422,270,0,0
2,77.09,17,440,22,65,422,270,0,0
2,73.23,465,645,22,65,408,16,0,0
2,70.82,465,645,22,65,408,16,0,0
2,57.36,465,645,22,65,408,16,0,0
2,67.2,465,645,22,65,408,16,0,0
2,71.97,833,556,22,65,422,270,0,0
2,69.51,833,556,22,65,422,270,0,0
2,61.27,833,556,22,65,422,270,0,0
2,51.53,145,335,22,65,418,147,0,0
2,52.65,145,335,22,65,418,147,0,0
2,71.6,144,174,22,65,422,270,0,0
2,73.52,144,174,22,65,422,270,0,0
2,75.34,144,174,22,65,422,270,0,0
2,41.5,17,285,22,65,415,266,0,0
2,751.56,980,362,42,17,451,196,0,0
2,300.26,980,362,42,17,451,196,0,0
2,80.38,980,362,42,17,451,196,0,0
2,1708.9,980,362,42,17,451,196,0,0
2,35.57,63,560,22,65,420,12,0,0
2,58.48,153,302,22,65,421,194,0,0
2,50.96,153,302,22,65,421,194,0,0
2,54.61,153,302,22,65,421,194,0,0
2,45.21,153,302,22,65,421,194,0,0
2,70.54,486,684,22,65,419,209,0,0
2,83.15,486,684,22,65,419,209,0,0
2,74.34,486,684,22,65,419,209,0,0
2,53.6,486,684,22,65,419,209,0,0
2,73.55,486,684,22,65,419,209,0,0
2,59.5,833,94,22,65,415,266,0,0
2,52.8,17,94,22,65,415,266,0,0
2,50.0,306,94,22,65,415,266,0,0
2,35.5,306,94,22,65,415,266,0,0
2,56.05,904,536,22,65,409,261,0,0
2,52.86,904,536,22,65,409,261,0,0
2,74.57,485,278,22,65,411,433,0,0
2,42.95,485,278,22,65,411,433,0,0
2,43.77,828,129,22,65,420,12,0,0
2,52.27,828,129,22,65,420,12,0,0
2,77.14,828,129,22,65,420,12,0,0
2,63.6,828,129,22,65,420,12,0,0
2,38.76,828,129,22,65,420,12,0,0
2,72.84,828,129,22,65,420,12,0,0
2,48.11,828,129,22,65,420,12,0,0
2,35.72,330,216,63,11,441,3,0,0
2,9.58,330,216,63,11,441,3,0,0
2,59.6,153,385,22,65,421,194,0,0
2,52.6,803,385,22,65,421,194,0,0
2,55.75,153,385,22,65,421,194,0,0
2,51.35,803,385,22,65,421,194,0,0
2,59.61,153,385,22,65,421,194,0,0
2,11.0,937,28,46,45,409,261,0,0
2,59.12,904,150,22,65,419,209,0,0
2,74.28,486,150,22,65,419,209,0,0
2,86.1,486,150,22,65,419,209,0,0
2,19.36,153,202,22,65,421,194,0,0
2,57.59,153,202,22,65,421,194,0,0
2,58.42,153,202,22,65,421,194,0,0
2,55.44,153,202,22,65,421,194,0,0
2,47.81,153,202,22,65,421,194,0,0
2,51.0,145,435,22,65,418,147,0,0
2,34.23,904,435,22,65,418,147,0,0
2,52.78,101,574,22,65,449,31,0,0
2,41.8,101,574,22,65,449,31,0,0
2,42.67,101,574,22,65,449,31,0,0
2,50.07,101,574,22,65,449,31,0,0
2,30.89,101,574,22,65,449,31,0,0
2,46.51,101,574,22,65,449,31,0,0
2,32.75,101,574,22,65,449,31,0,0
2,38.84,101,574,22,65,449,31,0,0
2,34.55,101,574,22,65,449,31,0,0
2,46.73,101,574,22,65,449,31,0,0
2,43.79,101,574,22,65,449,31,0,0
2,48.65,101,574,22,65,449,31,0,0
2,44.53,101,574,22,65,449,31,0,0
2,58.21,101,574,22,65,449,31,0,0
2,41.12,101,574,22,65,449,31,0,0
2,47.9,952,588,22,65,413,253,0,0
2,63.51,829,588,22,65,425,152,0,0
2,42.82,829,588,22,65,413,253,0,0
2,48.56,829,588,22,65,413,253,0,0
2,54.3,829,383,22,65,425,152,0,0
2,80.45,829,383,22,65,425,152,0,0
2,62.82,829,383,22,65,425,152,0,0
2,53.89,829,383,22,65,425,152,0,0
2,71.13,829,383,22,65,425,152,0,0
2,53.84,829,383,22,65,425,152,0,0
2,55.87,829,383,22,65,425,152,0,0
2,55.94,829,383,22,65,425,152,0,0
2,69.0,826,369,22,65,410,383,0,0
2,50.0,826,369,22,65,410,383,0,0
2,46.07,826,369,22,65,410,383,0,0
2,78.77,151,303,22,65,416,156,0,0
2,53.0,306,299,22,65,415,266,0,0
2,50.0,912,489,22,65,411,433,0,0
2,76.0,912,489,22,65,411,433,0,0
2,73.01,912,489,22,65,411,433,0,0
2,74.5,912,489,22,65,411,433,0,0
2,81.0,151,455,22,65,416,156,0,0
2,44.0,151,455,22,65,416,156,0,0
2,76.2,151,455,22,65,416,156,0,0
2,55.78,151,455,22,65,416,156,0,0
2,64.96,151,455,22,65,416,156,0,0
2,60.01,151,455,22,65,416,156,0,0
2,49.01,151,455,22,65,416,156,0,0
2,47.15,1056,533,22,65,419,209,0,0
2,53.44,153,533,22,65,419,209,0,0
2,72.0,153,533,22,65,419,209,0,0
2,42.9,959,238,22,65,422,270,0,0
2,43.0,959,238,22,65,422,270,0,0
2,41.0,959,238,22,65,422,270,0,0
2,55.75,221,238,22,65,422,270,0,0
2,44.01,959,238,22,65,422,270,0,0
5,35.01,959,238,22,65,422,270,0,0
2,40.17,959,238,22,65,422,270,0,0
2,12.0,1057,644,46,45,263,218,0,0
2,5.66,265,644,9,2,263,218,0,0
2,50.57,151,551,22,65,416,156,0,0
2,68.56,151,551,22,65,416,156,0,0
2,62.82,152,546,22,65,417,411,0,0
2,53.35,152,546,22,65,417,411,0,0
2,88.93,152,546,22,65,417,411,0,0
2,77.03,152,546,22,65,417,411,0,0
2,53.92,152,546,22,65,417,411,0,0
2,59.52,152,546,22,65,417,411,0,0
2,39.8,152,546,22,65,417,411,0,0
2,72.77,152,546,22,65,417,411,0,0
2,73.16,152,546,22,65,417,411,0,0
2,59.53,152,546,22,65,417,411,0,0
2,67.69,152,546,22,65,417,411,0,0
2,46.16,485,546,22,65,417,411,0,0
2,145.5,1031,420,53,30,14,113,0,6
2,145.5,1031,420,53,30,6,399,0,6
5,89.0,268,332,64,26,22,70,0,6
2,41.84,1006,393,59,41,364,24,0,6
5,16.25,42,393,42,17,363,23,0,6
2,47.0,307,670,22,65,11,108,0,6
2,63.0,154,670,22,65,11,108,0,6
2,74.0,878,670,22,65,11,108,0,6
2,67.0,956,670,22,65,11,108,0,6
2,37.84,489,670,22,65,11,108,0,6
2,64.27,489,670,22,65,11,108,0,6
2,66.62,489,670,22,65,11,108,0,6
